step,resistant_bactostatus,sensitive_bactostatus,strain_1_strain,strain_2_strain,strain_3_strain,strain_4_strain
0,2506,7494,2402,2572,2506,2520
1,2506,7494,2402,2572,2506,2520
2,2506,7494,2402,2572,2506,2520
3,2506,7494,2402,2572,2506,2520
4,2506,7494,2402,2572,2506,2520
5,2506,7494,2402,2572,2506,2520
6,2506,7494,2402,2572,2506,2520
7,2506,7494,2402,2572,2506,2520
8,2508,7492,2402,2570,2508,2520
9,2508,7492,2402,2570,2508,2520
10,2508,7492,2402,2570,2508,2520
11,2508,7492,2402,2570,2508,2520
12,2508,7492,2402,2570,2508,2520
13,2508,7492,2402,2570,2508,2520
14,2508,7492,2402,2570,2508,2520
15,2509,7491,2402,2569,2509,2520
16,2511,7489,2401,2569,2511,2519
17,2511,7489,2401,2569,2511,2519
18,2511,7489,2401,2569,2511,2519
19,2511,7489,2401,2569,2511,2519
20,2511,7489,2401,2569,2511,2519
21,2512,7488,2400,2569,2512,2519
22,2512,7488,2400,2569,2512,2519
23,2512,7488,2400,2569,2512,2519
24,2512,7488,2400,2569,2512,2519
25,2512,7488,2400,2569,2512,2519
26,2513,7487,2400,2569,2513,2518
27,2513,7487,2400,2569,2513,2518
28,2514,7486,2399,2569,2514,2518
29,2514,7486,2399,2569,2514,2518
30,2515,7485,2399,2569,2515,2517
31,2515,7485,2399,2569,2515,2517
32,2515,7485,2399,2569,2515,2517
33,2516,7484,2399,2569,2516,2516
34,2518,7482,2399,2568,2518,2515
35,2518,7482,2399,2568,2518,2515
36,2518,7482,2399,2568,2518,2515
37,2519,7481,2398,2568,2519,2515
38,2520,7480,2397,2568,2520,2515
39,2521,7479,2397,2568,2521,2514
40,2521,7479,2397,2568,2521,2514
41,2521,7479,2397,2568,2521,2514
42,2522,7478,2396,2568,2522,2514
43,2522,7478,2396,2568,2522,2514
44,2522,7478,2396,2568,2522,2514
45,2522,7478,2396,2568,2522,2514
46,2522,7478,2396,2568,2522,2514
47,2522,7478,2396,2568,2522,2514
48,2522,7478,2396,2568,2522,2514
49,2522,7478,2396,2568,2522,2514
50,2522,7478,2396,2568,2522,2514
51,2522,7478,2396,2568,2522,2514
52,2522,7478,2396,2568,2522,2514
53,2522,7478,2396,2568,2522,2514
54,2522,7478,2396,2568,2522,2514
55,2522,7478,2396,2568,2522,2514
56,2522,7478,2396,2568,2522,2514
57,2522,7478,2396,2568,2522,2514
58,2522,7478,2396,2568,2522,2514
59,2523,7477,2395,2568,2523,2514
60,2523,7477,2395,2568,2523,2514
61,2524,7476,2394,2568,2524,2514
62,2524,7476,2394,2568,2524,2514
63,2524,7476,2394,2568,2524,2514
64,2525,7475,2394,2568,2525,2513
65,2525,7475,2394,2568,2525,2513
66,2525,7475,2394,2568,2525,2513
67,2525,7475,2394,2568,2525,2513
68,2526,7474,2394,2567,2526,2513
69,2526,7474,2394,2567,2526,2513
70,2528,7472,2393,2567,2528,2512
71,2528,7472,2393,2567,2528,2512
72,2528,7472,2393,2567,2528,2512
73,2529,7471,2393,2566,2529,2512
74,2529,7471,2393,2566,2529,2512
75,2530,7470,2393,2566,2530,2511
76,2531,7469,2393,2565,2531,2511
77,2532,7468,2393,2565,2532,2510
78,2532,7468,2393,2565,2532,2510
79,2532,7468,2393,2565,2532,2510
80,2532,7468,2393,2565,2532,2510
81,2533,7467,2393,2564,2533,2510
82,2533,7467,2393,2564,2533,2510
