step,infected_sensitive_status,susceptible_status,infected_resistant_status,mortalities_status
0,5,53,2,0
1,3,52,5,0
2,3,52,5,0
3,3,52,5,0
4,3,52,5,0
5,3,51,6,0
6,4,51,5,0
7,4,51,5,0
8,4,51,5,0
9,4,51,5,0
10,5,51,4,0
11,5,51,4,0
12,5,51,4,0
13,5,51,4,0
14,5,50,5,0
15,6,49,5,0
16,7,48,5,0
17,6,46,8,0
18,7,46,7,0
19,7,46,7,0
20,6,45,9,0
21,9,43,8,0
22,11,42,7,0
23,11,42,7,0
24,12,41,7,0
25,15,39,6,0
26,15,38,7,0
27,14,38,8,0
28,16,37,7,0
29,17,36,7,0
30,19,34,7,0
31,20,33,7,0
32,22,32,6,0
33,24,30,6,0
34,26,28,6,0
35,26,26,8,0
36,25,26,9,0
37,29,25,6,0
38,31,24,5,0
39,31,23,6,0
40,30,23,7,0
41,31,23,6,0
42,32,22,6,0
43,33,21,6,0
44,36,19,5,0
45,40,16,4,0
46,41,15,4,0
47,43,14,3,0
48,43,14,3,0
49,43,14,3,0
50,43,13,4,0
51,43,13,4,0
52,42,12,6,0
53,42,11,7,0
54,41,11,8,0
55,43,10,7,0
56,43,10,7,0
57,44,8,8,0
58,46,7,7,0
59,50,5,5,0
60,51,4,5,0
61,51,4,5,0
62,51,4,5,0
63,54,3,3,0
64,54,3,3,0
65,55,3,2,0
66,53,3,4,0
67,53,2,5,0
68,54,2,4,0
69,54,2,4,0
70,53,2,5,0
71,52,1,7,0
72,54,1,5,0
73,55,1,4,0
74,58,1,1,0
75,58,1,1,0
76,58,1,1,0
77,58,1,1,0
78,59,0,1,0
79,59,0,1,0
80,59,0,1,0
81,59,0,1,0
82,59,0,1,0
83,59,0,1,0
84,60,0,0,0
85,60,0,0,0
86,60,0,0,0
87,60,0,0,0
88,60,0,0,0
89,60,0,0,0
90,60,0,0,0
91,60,0,0,0
92,60,0,0,0
93,60,0,0,0
94,60,0,0,0
95,60,0,0,0
96,60,0,0,0
97,60,0,0,0
98,60,0,0,0
99,60,0,0,0
100,60,0,0,0
