Day,ModelStep,FarmID,AnimalID,AnimalStatus,AnimalStage,DaysInfected,DaysExposed,DaysCarrier,AnimalTreatment,DaysTreated,DaysSinceTreatment,DaysDry,TradeStatus,AnimalBactoPop,AnimalAge,AgentType,DIM,PregStat,dic,psc_2,msd_2,CurrentLac,CalvingSeason,SpringLac,CurrentSpring,AutumnLac,CurrentAutumn
2021-09-24,85,1,110,IR,L,0,0,0,U,0,0,0,false,0,1551,Joined,162,P,22,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,114,S,L,0,0,0,U,0,0,0,false,0,1953,Joined,164,P,74,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,123,S,L,0,0,0,U,0,0,0,false,0,1128,Joined,148,P,38,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,117,S,L,0,0,0,U,0,0,0,false,0,2102,Joined,106,P,37,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,115,S,L,0,0,0,U,0,0,0,false,0,1420,Joined,153,P,12,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,112,S,L,0,0,0,U,0,0,0,false,0,1242,Joined,141,P,58,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,122,S,L,0,0,0,U,0,0,0,false,0,1347,Joined,173,P,20,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,111,S,L,0,0,0,U,0,0,0,false,0,877,Joined,163,P,73,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,118,S,L,0,0,0,U,0,0,0,false,0,2395,Joined,108,P,78,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,119,S,L,0,0,0,U,0,0,0,false,0,1397,Joined,147,P,66,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,126,S,L,0,0,0,U,0,0,0,false,0,2086,Joined,142,P,46,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,108,IS,L,0,0,0,U,0,0,0,false,0,1792,Joined,142,P,65,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,124,S,L,0,0,0,U,0,0,0,false,0,1146,Joined,97,P,43,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
