Day,ModelStep,FarmID,AnimalID,AnimalStatus,AnimalStage,DaysInfected,DaysExposed,DaysCarrier,AnimalTreatment,DaysTreated,DaysSinceTreatment,DaysDry,TradeStatus,AnimalBactoPop,AnimalAge,AgentType,DIM,PregStat,dic,psc,msd
2023-09-24,815,1,115,S,H,0,0,0,U,0,0,0,false,0,792,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,168,S,H,0,0,0,U,0,0,0,false,0,772,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,111,S,H,0,0,0,U,0,0,0,false,0,795,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,172,S,H,0,0,0,U,0,0,0,false,0,768,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,103,S,H,0,0,0,U,0,0,0,false,0,805,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,116,S,H,0,0,0,U,0,0,0,false,0,792,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,195,S,H,0,0,0,U,0,0,0,false,0,749,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,141,S,H,0,0,0,U,0,0,0,false,0,783,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,170,S,H,0,0,0,U,0,0,0,false,0,769,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,133,S,H,0,0,0,U,0,0,0,false,0,785,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,137,S,H,0,0,0,U,0,0,0,false,0,784,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,142,S,H,0,0,0,U,0,0,0,false,0,782,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,148,S,H,0,0,0,U,0,0,0,false,0,779,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,162,S,H,0,0,0,U,0,0,0,false,0,774,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,147,S,H,0,0,0,U,0,0,0,false,0,780,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,157,S,H,0,0,0,U,0,0,0,false,0,777,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,146,S,H,0,0,0,U,0,0,0,false,0,780,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,159,S,H,0,0,0,U,0,0,0,false,0,777,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,143,S,H,0,0,0,U,0,0,0,false,0,781,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,134,S,H,0,0,0,U,0,0,0,false,0,785,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,164,S,H,0,0,0,U,0,0,0,false,0,774,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,153,S,H,0,0,0,U,0,0,0,false,0,778,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,186,S,H,0,0,0,U,0,0,0,false,0,761,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,139,S,H,0,0,0,U,0,0,0,false,0,784,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,104,S,H,0,0,0,U,0,0,0,false,0,805,Born,0,E,0,2023-07-03,2023-09-24
2023-09-24,815,1,119,S,H,0,0,0,U,0,0,0,false,0,790,Born,0,E,0,2023-07-03,2023-09-24
