step,stage_c_stage,stage_w_stage,stage_h_stage,stage_l_stage,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment
0,20,0,29,51,5,94,1,0,0,0,0,0,0
1,20,0,29,50,6,92,1,0,0,0,0,0,0
2,21,0,29,50,7,92,1,0,0,0,0,1,0
3,21,0,29,50,7,92,1,0,0,0,0,4,0
4,21,0,29,50,8,91,1,0,0,0,0,5,0
5,22,0,29,50,7,92,1,0,1,0,0,6,0
6,23,0,29,50,7,93,1,0,1,0,0,7,0
7,23,0,29,50,6,93,1,0,2,0,0,7,1
8,23,0,29,50,5,94,1,0,1,1,0,5,3
9,22,1,29,50,5,94,1,0,1,1,0,4,4
10,23,1,28,51,5,95,1,0,1,1,0,3,5
11,23,1,28,51,5,95,1,0,0,1,1,2,6
12,23,2,28,51,5,96,1,0,0,1,1,1,7
13,24,2,28,50,6,95,1,0,0,1,1,0,7
14,25,2,28,50,5,96,1,0,1,1,1,2,7
15,26,2,28,50,5,97,1,0,1,1,1,2,7
16,26,2,27,51,6,97,0,0,1,1,1,2,6
17,26,2,27,50,6,96,0,0,1,1,1,2,6
18,25,3,26,50,5,96,0,0,1,1,1,3,5
19,25,3,25,50,5,95,0,0,1,1,1,0,7
20,25,3,25,50,6,94,0,0,1,1,1,0,7
21,25,3,25,50,6,94,0,0,1,1,1,0,7
22,25,3,25,50,7,93,0,0,1,1,1,0,7
23,25,4,25,50,7,94,0,0,1,1,1,0,7
24,25,4,25,50,8,93,0,0,1,1,1,0,7
25,25,5,25,50,8,93,0,0,1,1,1,0,7
26,24,6,25,50,7,93,0,0,2,1,1,0,7
27,24,7,25,49,5,94,0,0,3,1,1,2,6
28,25,7,25,49,5,95,0,0,2,1,2,2,6
29,24,8,25,48,6,93,0,0,2,1,2,3,6
30,25,8,24,49,6,94,0,0,2,1,2,3,6
31,26,8,23,50,6,95,0,0,2,1,2,4,6
32,26,8,23,50,6,95,0,0,2,1,2,2,8
33,26,8,23,50,6,95,0,0,2,1,2,2,8
34,27,8,23,50,6,96,0,0,2,1,2,1,9
35,27,8,23,50,5,96,0,0,3,1,2,1,9
