step,stage_c_stage,stage_w_stage,stage_h_stage,stage_l_stage
0,18,3,29,51
1,17,3,29,51
2,17,3,28,52
3,17,3,28,52
4,17,3,28,52
5,17,3,28,52
6,15,5,27,53
7,15,5,27,53
8,16,5,27,53
9,17,5,27,53
10,15,7,27,53
11,16,7,27,53
12,17,7,27,53
13,17,7,27,53
14,17,7,27,53
15,15,8,27,53
16,16,8,27,53
17,17,8,26,54
18,16,10,26,54
19,17,10,26,54
20,16,12,26,54
21,17,12,26,54
22,18,12,26,54
23,18,12,26,54
24,18,12,26,54
25,19,12,26,54
26,20,12,26,54
27,21,12,26,54
28,21,12,25,55
29,21,12,25,55
30,21,12,25,55
31,21,12,25,55
32,20,13,25,55
33,21,13,25,55
34,22,13,25,55
35,22,13,25,55
36,23,13,25,55
37,23,13,25,55
38,23,14,25,55
39,23,14,25,55
40,24,14,25,54
41,24,14,25,54
42,22,16,24,55
43,23,16,24,55
44,23,17,24,55
45,23,17,24,55
46,23,17,24,55
47,24,17,24,54
48,24,17,24,54
49,24,17,24,54
50,25,17,24,54
51,25,17,24,54
52,25,17,24,54
53,25,17,24,54
54,25,17,24,53
55,25,18,24,53
56,26,18,24,53
57,26,18,24,53
58,27,18,24,53
59,27,19,24,53
60,28,19,23,54
61,28,19,22,54
62,29,19,22,53
63,30,19,22,53
64,30,19,21,54
65,31,19,21,54
66,31,19,21,54
67,31,19,21,54
68,30,20,21,53
69,30,21,21,53
70,31,21,21,53
71,31,22,21,52
72,31,23,21,52
73,32,23,20,52
74,33,23,20,52
75,33,23,20,52
76,33,24,20,52
77,32,25,20,52
78,32,26,20,52
79,32,27,20,52
80,31,28,20,52
81,30,29,19,53
82,29,30,19,53
83,30,30,19,53
84,30,30,19,53
85,29,31,19,52
86,28,32,19,52
87,27,33,19,52
88,27,33,19,51
89,27,33,18,51
90,27,33,17,51
91,27,33,17,51
92,27,33,16,52
93,26,34,14,53
94,25,35,14,52
95,25,35,14,52
96,24,36,14,52
97,24,36,14,52
98,23,37,14,52
99,23,37,13,52
100,22,38,13,52
101,22,38,13,52
102,22,38,13,51
103,21,39,13,51
104,20,40,13,50
105,20,40,13,50
106,20,40,13,50
107,19,41,13,50
108,19,41,13,49
109,19,41,13,49
110,18,42,13,49
111,18,42,12,50
112,18,42,12,49
113,18,42,12,49
114,18,42,11,50
115,17,43,11,50
116,16,44,11,50
117,16,44,11,49
118,15,45,11,49
119,14,46,11,48
120,13,47,11,48
121,13,47,11,48
122,12,48,11,48
123,11,49,11,47
124,11,49,11,46
125,10,50,11,46
