step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
0,5,54,1,0,0,0,0,0,0,0
1,5,54,1,0,0,0,0,0,0,0
2,5,54,1,0,0,0,0,0,0,0
3,5,54,1,0,0,0,0,0,0,0
4,5,54,1,0,0,0,0,0,0,0
5,5,54,1,0,0,0,0,1,0,0
6,5,54,1,0,0,0,0,1,0,0
7,5,54,1,0,0,0,0,1,0,0
8,5,54,1,0,0,0,0,1,0,0
9,5,54,1,0,0,0,0,1,0,0
10,5,54,1,0,0,0,0,1,1,1
11,5,54,1,0,0,0,0,2,1,1
12,5,54,1,0,0,0,0,2,1,1
13,5,54,1,0,0,0,0,2,1,1
14,5,54,1,0,0,0,0,2,1,1
15,5,54,1,0,0,0,0,1,2,2
16,5,54,1,0,0,0,0,0,3,3
17,5,54,1,0,0,0,0,0,3,3
18,5,54,1,0,0,0,0,0,3,3
19,5,54,1,0,0,0,0,0,3,3
20,5,54,1,0,0,0,0,0,3,3
21,5,54,1,0,0,0,0,0,3,3
22,5,54,1,0,0,0,0,0,3,3
23,5,54,1,0,0,0,0,0,3,3
24,5,54,1,0,0,0,0,0,3,3
25,5,54,1,0,0,0,0,0,3,3
26,5,54,1,0,0,0,0,0,3,3
27,5,54,1,0,0,0,0,0,3,3
28,5,54,1,0,0,0,0,0,3,3
29,5,54,1,0,0,0,0,0,3,3
30,5,54,1,0,0,0,0,0,3,3
31,5,54,1,0,0,0,0,0,3,3
32,5,54,1,0,0,0,0,1,3,3
33,5,54,1,0,0,0,0,1,3,3
34,5,54,1,0,0,0,0,1,3,3
35,5,54,1,0,0,0,0,1,3,3
36,5,54,1,0,0,0,0,1,3,3
37,5,54,1,0,0,0,0,0,4,4
38,5,54,1,0,0,0,0,0,4,4
39,5,54,1,0,0,0,0,0,4,4
40,5,54,1,0,0,0,0,0,4,4
41,5,54,1,0,0,0,0,0,4,4
42,5,54,1,0,0,0,0,0,4,4
43,5,54,1,0,0,0,0,0,4,4
44,5,54,1,0,0,0,0,0,4,4
45,5,54,1,0,0,0,0,1,4,4
46,5,54,1,0,0,0,0,1,4,4
47,5,54,1,0,0,0,0,1,4,4
48,5,54,1,0,0,0,0,1,4,4
49,5,54,1,0,0,0,0,1,4,4
50,5,54,1,0,0,0,0,0,5,5
51,5,54,1,0,0,0,0,0,5,5
52,5,54,1,0,0,0,0,0,5,5
53,6,53,1,0,0,0,0,0,5,5
54,6,53,1,0,0,0,0,0,5,5
55,6,53,1,0,0,0,0,0,5,5
56,6,53,1,0,0,0,0,0,5,5
57,6,53,1,0,0,0,0,0,5,5
58,5,53,1,0,1,0,0,0,5,5
59,6,52,1,0,1,0,0,0,5,5
60,6,52,1,0,1,0,0,0,5,5
61,6,52,1,0,1,0,0,0,5,5
62,6,52,1,0,1,0,0,0,5,5
63,6,52,1,0,1,0,0,0,5,5
64,6,52,1,0,1,0,0,0,5,5
65,6,52,1,0,1,0,0,0,5,5
66,6,52,1,0,1,0,0,1,5,5
67,6,52,1,0,1,0,0,1,5,5
68,6,52,1,0,1,0,0,1,5,5
69,6,52,1,0,1,0,0,1,5,5
70,6,52,1,0,1,0,0,1,5,5
71,6,52,1,0,1,0,0,0,6,6
72,6,52,1,0,1,0,0,0,6,6
73,6,52,1,0,1,0,0,0,6,6
74,6,52,1,0,1,0,0,0,6,6
75,6,52,1,0,1,0,0,0,6,6
76,6,52,1,0,1,0,0,0,6,6
77,6,52,1,0,1,0,0,1,6,6
78,6,52,1,0,1,0,0,1,6,6
79,6,52,1,0,1,0,0,1,6,6
80,6,52,1,0,1,0,0,1,6,6
81,6,52,1,0,1,0,0,1,6,6
82,6,52,1,0,1,0,0,0,7,7
83,6,52,1,0,1,0,0,0,7,7
84,6,52,1,0,1,0,0,0,7,7
85,6,52,1,0,1,0,0,0,7,7
86,6,52,1,0,1,0,0,0,7,7
87,6,52,1,0,1,0,0,0,7,7
88,6,52,1,0,1,0,0,0,7,7
89,6,52,1,0,1,0,0,0,7,7
